"","date","name","category","value"
"473",1970-01-10,"South.Dakota","S",849586
"474",1970-01-10,"Oklahoma","S",3545716
"475",1970-01-10,"Wyoming","S",587924
"476",1970-01-10,"West.Virginia","S",1822686
"477",1970-01-10,"Maine","S",1216068
"478",1970-01-10,"New.Hampshire","S",1278560
"479",1970-01-10,"Arizona","S",6091467
"480",1970-01-10,"Rhode.Island","S",929596
"481",1970-01-11,"Maryland","S",6497744
"482",1970-01-11,"Iowa","S",3086788
"483",1970-01-11,"Delaware","S",834420
"484",1970-01-11,"Ohio","S",11331100
"485",1970-01-11,"Pennsylvania","S",12677130
"486",1970-01-11,"Nebraska","S",1828636
"487",1970-01-11,"Washington","S",7083135
"488",1970-01-11,"Alabama","S",4507724
"489",1970-01-11,"Arkansas","S",2652788
"490",1970-01-11,"New.Mexico","S",2007169
"491",1970-01-11,"Texas","S",26095930
"492",1970-01-11,"California","S",35114980
"493",1970-01-11,"Kentucky","S",4646502
"494",1970-01-11,"Georgia","S",9665104
"495",1970-01-11,"Wisconsin","S",5784086
"496",1970-01-11,"Oregon","S",4026673
"497",1970-01-11,"Missouri","S",6095176
"498",1970-01-11,"Virginia","S",8356177
"499",1970-01-11,"Tennessee","S",5924996
"500",1970-01-11,"Louisiana","S",4425600
"501",1970-01-11,"New.York","S",18341690
"502",1970-01-11,"Michigan","S",9800301
"503",1970-01-11,"Idaho","S",1677723
"504",1970-01-11,"Florida","S",20131420
"505",1970-01-11,"Illinois","S",12956220
"506",1970-01-11,"Montana","S",1020306
"507",1970-01-11,"Minnesota","S",5469500
"508",1970-01-11,"Indiana","S",6518298
"509",1970-01-11,"Massachusetts","S",5612916
"510",1970-01-11,"Kansas","S",2858035
"511",1970-01-11,"Nevada","S",2761690
"512",1970-01-11,"Vermont","S",634153
"513",1970-01-11,"Connecticut","S",3351654
"514",1970-01-11,"New.Jersey","S",10054250
"515",1970-01-11,"North.Carolina","S",9311830
"516",1970-01-11,"Utah","S",3037363
"517",1970-01-11,"North.Dakota","S",672026
"518",1970-01-11,"South.Carolina","S",4474623
"519",1970-01-11,"Mississippi","S",2782401
"520",1970-01-11,"Colorado","S",5367069
"521",1970-01-11,"South.Dakota","S",849586
"522",1970-01-11,"Oklahoma","S",3545716
"523",1970-01-11,"Wyoming","S",587924
"524",1970-01-11,"West.Virginia","S",1822686
"525",1970-01-11,"Maine","S",1216068
"526",1970-01-11,"New.Hampshire","S",1278560
"527",1970-01-11,"Arizona","S",6091467
"528",1970-01-11,"Rhode.Island","S",929596
"529",1970-01-12,"Maryland","S",6497744
"530",1970-01-12,"Iowa","S",3086788
"531",1970-01-12,"Delaware","S",834420
"532",1970-01-12,"Ohio","S",11331100
"533",1970-01-12,"Pennsylvania","S",12677130
"534",1970-01-12,"Nebraska","S",1828636
"535",1970-01-12,"Washington","S",7083135
"536",1970-01-12,"Alabama","S",4507724
"537",1970-01-12,"Arkansas","S",2652788
"538",1970-01-12,"New.Mexico","S",2007169
"539",1970-01-12,"Texas","S",26095930
"540",1970-01-12,"California","S",35114980
