"","date","name","category","value"
"554",1970-01-12,"Montana",7,1020306
"555",1970-01-12,"Minnesota",28,5469500
"556",1970-01-12,"Indiana",35,6518298
"557",1970-01-12,"Massachusetts",29,5612916
"558",1970-01-12,"Kansas",17,2858035
"559",1970-01-12,"Nevada",15,2761690
"560",1970-01-12,"Vermont",2,634153
"561",1970-01-12,"Connecticut",20,3351654
"562",1970-01-12,"New.Jersey",41,10054250
"563",1970-01-12,"North.Carolina",38,9311830
"564",1970-01-12,"Utah",18,3037363
"565",1970-01-12,"North.Dakota",3,672026
"566",1970-01-12,"South.Carolina",24,4474623
"567",1970-01-12,"Mississippi",16,2782401
"568",1970-01-12,"Colorado",27,5367069
"569",1970-01-12,"South.Dakota",5,849586
"570",1970-01-12,"Oklahoma",21,3545716
"571",1970-01-12,"Wyoming",1,587924
"572",1970-01-12,"West.Virginia",11,1822686
"573",1970-01-12,"Maine",8,1216068
"574",1970-01-12,"New.Hampshire",9,1278560
"575",1970-01-12,"Arizona",32,6091467
"576",1970-01-12,"Rhode.Island",6,929596
"577",1970-01-13,"Maryland",34,6497744
"578",1970-01-13,"Iowa",19,3086788
"579",1970-01-13,"Delaware",4,834420
"580",1970-01-13,"Ohio",42,11331100
"581",1970-01-13,"Pennsylvania",43,12677130
"582",1970-01-13,"Nebraska",12,1828636
"583",1970-01-13,"Washington",36,7083135
"584",1970-01-13,"Alabama",25,4507724
"585",1970-01-13,"Arkansas",14,2652788
"586",1970-01-13,"New.Mexico",13,2007169
"587",1970-01-13,"Texas",47,26095930
"588",1970-01-13,"California",48,35114980
"589",1970-01-13,"Kentucky",26,4646502
"590",1970-01-13,"Georgia",39,9664126
"591",1970-01-13,"Wisconsin",30,5784086
"592",1970-01-13,"Oregon",22,4026673
"593",1970-01-13,"Missouri",33,6095176
"594",1970-01-13,"Virginia",37,8356177
"595",1970-01-13,"Tennessee",31,5924996
"596",1970-01-13,"Louisiana",23,4425600
"597",1970-01-13,"New.York",45,18341690
"598",1970-01-13,"Michigan",40,9800301
"599",1970-01-13,"Idaho",10,1677723
"600",1970-01-13,"Florida",46,20131420
"601",1970-01-13,"Illinois",44,12956220
"602",1970-01-13,"Montana",7,1020306
"603",1970-01-13,"Minnesota",28,5469500
"604",1970-01-13,"Indiana",35,6518298
"605",1970-01-13,"Massachusetts",29,5612916
"606",1970-01-13,"Kansas",17,2858035
"607",1970-01-13,"Nevada",15,2761690
"608",1970-01-13,"Vermont",2,634153
"609",1970-01-13,"Connecticut",20,3351654
"610",1970-01-13,"New.Jersey",41,10054250
"611",1970-01-13,"North.Carolina",38,9311830
"612",1970-01-13,"Utah",18,3037363
"613",1970-01-13,"North.Dakota",3,672026
"614",1970-01-13,"South.Carolina",24,4474623
"615",1970-01-13,"Mississippi",16,2782401
"616",1970-01-13,"Colorado",27,5367069
"617",1970-01-13,"South.Dakota",5,849586
"618",1970-01-13,"Oklahoma",21,3545716
"619",1970-01-13,"Wyoming",1,587924
"620",1970-01-13,"West.Virginia",11,1822686
"621",1970-01-13,"Maine",8,1216068
